Household_ID,Dietary_Preferences,Family_Size,Food_Item,Purchase_Amount,Consumption_Amount,Waste_Amount,Waste_Type,Storage_Method,Disposal_Method,Timestamp
9f85a086-7423-4f98-b515-1483dfea481b,Pescatarian,2,Snacks,16.0,7.17,8.83,Avoidable,Refrigerated,Trash,2024-01-05
4f9afc98-e10c-473b-b4fb-316e7a65fda9,Vegetarian,1,Meat,17.5,10.48,7.02,Avoidable,Pantry,Feed Animals,2024-03-25
696a258a-f986-412d-9b8d-7c5dcd483375,Omnivore,2,Beverages,11.31,6.48,4.83,Avoidable,Refrigerated,Compost,2024-08-01
95548b61-b201-44b2-9257-ee9083e5d86f,Omnivore,6,Meat,16.09,2.0,14.09,Avoidable,Pantry,Compost,2024-01-04
50609468-2c9d-4412-98fc-f620da431a12,Vegan,5,Fruits,3.5,1.22,2.28,Avoidable,Frozen,Donation,2024-05-02
9c904030-cb14-43a5-bd91-8c7c56991646,Vegan,4,Grains,7.48,2.49,4.98,Avoidable,Refrigerated,Feed Animals,2024-02-25
4a3b07d7-42e8-427e-9c7d-68da7a6c91bf,Omnivore,3,Meat,17.29,16.08,1.21,Avoidable,Frozen,Donation,2024-02-01
079406a4-1b18-4a00-82a5-982b4f038f2d,Pescatarian,4,Snacks,16.0,8.17,7.83,Avoidable,Frozen,Donation,2024-08-19
6330d8f3-2517-40b4-93a8-ab83a9340a63,Vegetarian,4,Vegetables,8.41,5.06,3.36,Avoidable,Refrigerated,Donation,2024-08-16
61f91398-a469-4b68-8975-850de7535ed9,Vegetarian,6,Snacks,18.47,11.46,7.01,Avoidable,Refrigerated,Compost,2024-02-23
97129c6d-d430-4877-9692-c94edfb14db2,Pescatarian,1,Snacks,17.72,0.91,16.81,Avoidable,Pantry,Compost,2024-06-29
45b27858-1768-40a9-bba8-2c537bb7eeaf,Vegetarian,3,Meat,10.08,4.06,6.03,Avoidable,Frozen,Donation,2024-01-22
30f055ac-a89d-4bae-9f24-94900d65169b,Pescatarian,3,Dairy,10.91,5.42,5.5,Avoidable,Refrigerated,Trash,2024-04-26
d194f6d6-1335-46b1-a44c-7d8426a80f31,Vegan,1,Dairy,17.39,2.22,15.17,Avoidable,Pantry,Compost,2024-03-19
beb9e70a-4feb-48ae-af37-ade53d555a24,Vegan,6,Snacks,11.2,1.86,9.33,Avoidable,Refrigerated,Donation,2024-01-06
2cee998c-e4b6-404a-9116-00181a0e8e61,Vegetarian,5,Meat,6.6,2.11,4.49,Avoidable,Frozen,Compost,2024-05-05
a3e41f22-df98-4f88-9f7d-c3d374eec6e6,Pescatarian,2,Vegetables,7.55,3.05,4.5,Avoidable,Frozen,Donation,2024-03-24
4602b0f5-e4cc-4321-889a-ab18e9cdf417,Vegan,4,Vegetables,6.96,5.94,1.02,Avoidable,Refrigerated,Trash,2024-01-21
a3e33610-a982-454a-aab4-adaa12283613,Vegetarian,3,Fruits,12.11,2.22,9.89,Avoidable,Refrigerated,Trash,2024-04-17
ce91f440-f542-4e51-bb4c-9a3d601849ca,Vegetarian,6,Beverages,2.91,2.16,0.75,Avoidable,Pantry,Compost,2024-01-29
786aa95e-a206-440e-96fc-7ae48a44ccd3,Pescatarian,2,Grains,19.58,6.88,12.7,Avoidable,Refrigerated,Donation,2024-04-30
8239ee6b-a6f2-43ed-8f9f-7faaca895c17,Vegetarian,1,Fruits,2.07,0.57,1.5,Avoidable,Refrigerated,Donation,2024-03-19
c5d58d98-76e2-4187-b97b-15bf9a8f0550,Vegetarian,1,Vegetables,18.17,14.88,3.29,Avoidable,Refrigerated,Donation,2024-04-10
1ef0ec76-85b2-4271-a821-da9ec89691cd,Vegetarian,3,Meat,11.27,10.34,0.93,Avoidable,Refrigerated,Trash,2024-07-03
7aec1608-fdeb-4374-a4b3-81b453d762cd,Vegan,4,Fruits,8.75,2.38,6.36,Avoidable,Pantry,Trash,2024-09-21
53bc52a2-56e2-44d6-8790-2a0e59865484,Vegan,5,Vegetables,15.9,1.12,14.78,Avoidable,Refrigerated,Donation,2024-01-02
ab080037-398a-4d1c-9463-1bea891f8074,Vegan,5,Meat,1.29,0.96,0.33,Avoidable,Frozen,Donation,2024-08-28
f64fa282-c53d-4df0-9665-93ebbcd81a55,Vegetarian,3,Fruits,13.98,5.32,8.66,Avoidable,Frozen,Compost,2024-01-11
46a419a6-7fa1-49a0-81d7-3c8bbe296858,Vegetarian,6,Snacks,15.64,9.9,5.74,Avoidable,Frozen,Trash,2024-02-07
36e08b69-bebd-4f24-ac29-47a7ae3190a4,Pescatarian,4,Vegetables,17.49,11.51,5.98,Avoidable,Refrigerated,Compost,2024-04-19
54274198-480b-49e1-ae5b-e9d50aa042db,Pescatarian,1,Vegetables,17.05,0.83,16.22,Avoidable,Frozen,Feed Animals,2024-07-06
0b5c0079-e25f-41b5-827d-d835b9557183,Omnivore,4,Grains,3.67,0.9,2.77,Avoidable,Pantry,Trash,2024-03-17
74830d78-0f46-4dcf-9277-6ee7b5db8614,Omnivore,5,Beverages,5.1,4.89,0.21,Avoidable,Pantry,Compost,2024-09-13
fb07ca0f-7abf-481c-8f67-06737c2679c1,Vegetarian,4,Grains,11.33,11.12,0.2,Avoidable,Frozen,Donation,2024-04-08
87838a0b-7513-4546-8ada-fcc6ddacb723,Omnivore,6,Beverages,12.08,7.54,4.54,Avoidable,Pantry,Feed Animals,2024-06-04
ed5a4235-425b-452a-95c5-ea224b95e90c,Vegetarian,5,Meat,16.31,11.88,4.43,Avoidable,Refrigerated,Compost,2024-05-12
b5029312-9411-45ca-adaf-f9ffb13de258,Omnivore,6,Meat,13.32,10.13,3.18,Avoidable,Frozen,Compost,2024-08-24
489dcc9a-b137-45da-8e87-67e15520c3b4,Vegetarian,2,Fruits,9.93,7.48,2.45,Avoidable,Refrigerated,Compost,2024-01-31
459eea21-2c23-4e04-9eca-5cb837024774,Omnivore,3,Fruits,5.09,1.62,3.47,Avoidable,Pantry,Compost,2024-03-24
362a7f17-6909-4217-8470-2f68f994fd0b,Vegan,2,Vegetables,7.31,4.8,2.51,Avoidable,Frozen,Donation,2024-01-01
7d09fd2d-dbe7-4377-94ef-f7af6a7cb21d,Omnivore,3,Vegetables,3.36,1.58,1.78,Avoidable,Frozen,Donation,2024-01-21
74ea7388-b556-4310-bd06-cef8a7525ef6,Pescatarian,2,Meat,6.79,5.88,0.91,Avoidable,Pantry,Trash,2024-06-03
46cfa8b0-29a9-49d8-94aa-23076166a526,Omnivore,2,Dairy,14.12,13.86,0.26,Avoidable,Frozen,Compost,2024-05-23
0c5f40ac-6306-46dd-8de0-fd79dfaf9733,Pescatarian,6,Grains,10.8,8.17,2.63,Avoidable,Frozen,Compost,2024-01-31
5ee44ee1-4cb8-4825-a44f-4c73db490ad9,Omnivore,6,Fruits,2.15,1.57,0.58,Avoidable,Refrigerated,Donation,2024-06-15
0ed74848-bdf5-4b4b-a494-37c4406f6f8d,Omnivore,1,Snacks,8.52,0.71,7.81,Avoidable,Frozen,Compost,2024-04-15
b620b72a-dcb9-4120-a9e8-36821ed08127,Pescatarian,4,Beverages,8.77,0.98,7.79,Avoidable,Pantry,Compost,2024-05-11
cabe73c2-950c-4a24-8554-91ac3465bc1a,Omnivore,4,Fruits,14.99,6.94,8.05,Avoidable,Frozen,Compost,2024-02-11
2304eeee-4565-42be-b984-be3901ffe607,Vegan,4,Snacks,6.35,0.64,5.71,Avoidable,Refrigerated,Compost,2024-01-03
0934a098-2ce7-4da5-bf98-462201649df4,Omnivore,6,Snacks,13.35,9.87,3.48,Avoidable,Frozen,Trash,2024-09-20
1bbed867-7c95-4bf3-9f25-189840e3e110,Omnivore,4,Dairy,17.18,7.85,9.33,Avoidable,Pantry,Trash,2024-06-23
33d4b8d4-d589-4b98-aa7a-d7420ce0a630,Pescatarian,6,Meat,12.07,2.49,9.59,Avoidable,Refrigerated,Compost,2024-05-06
a7298b3e-d837-4bad-acf1-a38309580c11,Vegetarian,3,Fruits,3.05,0.77,2.28,Avoidable,Pantry,Feed Animals,2024-01-07
117dd6e7-1d4d-41a8-892b-730428b4cfc5,Omnivore,5,Fruits,1.16,0.51,0.65,Avoidable,Frozen,Feed Animals,2024-04-16
a0e2eac1-279c-4cd9-aba8-76608a6d075d,Vegetarian,3,Fruits,7.7,2.01,5.69,Avoidable,Frozen,Compost,2024-08-04
30159905-fe53-4625-816a-1b8e7ac01e43,Vegetarian,3,Vegetables,17.88,11.1,6.78,Avoidable,Refrigerated,Donation,2024-03-15
5dd9ba9d-4c7c-4387-9bce-61734379f4e6,Vegetarian,3,Beverages,2.43,0.58,1.85,Avoidable,Pantry,Donation,2024-03-25
d497fde2-b27c-4ff6-99a4-56635a6f4a9f,Pescatarian,6,Dairy,12.36,7.64,4.71,Avoidable,Pantry,Donation,2024-05-23
9f4a6ed5-7832-4277-9f88-222efb627811,Omnivore,2,Meat,2.69,1.61,1.08,Avoidable,Pantry,Feed Animals,2024-09-23
b663965d-2ea0-4513-b4d4-904775e02aff,Omnivore,4,Beverages,8.1,7.63,0.47,Avoidable,Frozen,Trash,2024-07-07
18c39a4f-6b67-4430-9c5f-abe10543bb9e,Pescatarian,2,Meat,11.97,11.27,0.7,Avoidable,Pantry,Feed Animals,2024-06-30
e5fb7b27-b101-45d7-9700-0261312dad0f,Omnivore,4,Fruits,13.44,6.41,7.03,Avoidable,Refrigerated,Donation,2024-08-30
ad16110a-6ebe-4c2b-963d-5bd41a8cb5e0,Pescatarian,4,Beverages,3.01,1.1,1.9,Avoidable,Frozen,Donation,2024-05-27
802d66ec-889e-4794-9cfe-362d366e2c02,Vegan,3,Dairy,13.59,12.15,1.44,Avoidable,Pantry,Trash,2024-02-19
5a99da57-0e27-4317-b8ff-d9c5322a8d4e,Pescatarian,6,Dairy,6.33,2.68,3.65,Avoidable,Frozen,Trash,2024-05-22
1b6f0953-1b10-487a-85f8-e6db786f71d7,Vegetarian,1,Snacks,17.42,15.02,2.4,Avoidable,Pantry,Donation,2024-01-04
1183bc31-5743-4b0a-9308-0d662fec678a,Pescatarian,6,Meat,19.16,4.51,14.65,Avoidable,Pantry,Donation,2024-05-31
4408413e-286d-40e0-9efc-a5e9a75a3d6b,Vegetarian,1,Fruits,7.69,3.18,4.51,Avoidable,Refrigerated,Compost,2024-05-13
fb363ceb-895d-47c5-9c3a-32a3f52e3213,Vegetarian,5,Vegetables,13.17,11.01,2.16,Avoidable,Frozen,Donation,2024-01-28
589d90a6-ccdc-41c5-a9af-121bc7c5c0df,Omnivore,4,Meat,7.25,4.57,2.68,Avoidable,Refrigerated,Feed Animals,2024-03-03
39120cd5-1a73-4c12-b62d-cd1f84cb472f,Omnivore,5,Meat,9.77,2.54,7.23,Avoidable,Refrigerated,Donation,2024-08-29
bddd0d6e-73b3-4a13-92d6-c5ae5b7e2517,Vegan,6,Vegetables,18.66,15.57,3.1,Avoidable,Pantry,Donation,2024-04-04
f5c5e6b5-40ce-4ad1-ac2e-a511fc9a3b46,Omnivore,4,Dairy,11.62,8.65,2.98,Avoidable,Frozen,Trash,2024-03-20
0b0ee67f-0e94-4bea-90d3-1229bb8b29a3,Omnivore,3,Dairy,19.48,7.08,12.4,Avoidable,Frozen,Donation,2024-06-09
d19081cc-5a7a-44d2-b389-6791e56bb756,Pescatarian,3,Dairy,5.79,1.86,3.93,Avoidable,Frozen,Trash,2024-08-02
c332c466-6ddf-4c25-a476-2fbe9fe689b0,Vegan,4,Fruits,5.08,4.05,1.03,Avoidable,Frozen,Feed Animals,2024-09-02
689e30dc-f1c6-4ddf-9078-7d65fb2ddc10,Omnivore,2,Vegetables,9.83,7.12,2.71,Avoidable,Pantry,Compost,2024-07-25
2aa581e9-18b7-4810-97bb-a3a75b77df0c,Vegan,1,Fruits,12.78,1.76,11.02,Avoidable,Pantry,Donation,2024-01-11
ed0c5ae8-2c04-4b69-9bc2-3844deb3501a,Vegetarian,2,Fruits,10.85,3.41,7.44,Avoidable,Frozen,Donation,2024-08-03
7ac30f47-9634-482b-a247-18e785607bb9,Omnivore,3,Dairy,9.25,1.31,7.94,Avoidable,Pantry,Feed Animals,2024-04-01
12f7da8d-f535-4673-b497-540a417df485,Vegan,6,Vegetables,2.36,2.3,0.06,Avoidable,Pantry,Feed Animals,2024-01-17
72ef9cba-45b2-48ed-8d9a-7c81f7fb6db6,Vegetarian,3,Dairy,11.39,0.66,10.73,Avoidable,Pantry,Feed Animals,2024-06-22
9ce06e8b-6c72-4921-a129-01fe1dc727a7,Omnivore,3,Grains,11.15,8.91,2.24,Avoidable,Refrigerated,Compost,2024-06-25
4ac9ec5c-b3d3-4fba-ae18-07eb8a5e8358,Pescatarian,6,Snacks,9.5,6.45,3.06,Avoidable,Pantry,Donation,2024-02-06
76094d6a-3b62-4c6d-a0dc-8cbad3a41a77,Vegan,2,Grains,6.55,5.18,1.37,Avoidable,Refrigerated,Trash,2024-01-14
91e100ed-8134-4228-a377-9466977826ee,Vegetarian,5,Meat,19.38,13.8,5.58,Avoidable,Frozen,Trash,2024-06-15
58ed0c26-a7da-45c0-ad25-7a9860d8b759,Vegetarian,4,Fruits,1.04,0.82,0.22,Avoidable,Pantry,Donation,2024-06-02
7f5b3730-5446-4cce-a29c-bbc8f5b23e86,Omnivore,2,Grains,13.48,4.68,8.8,Avoidable,Refrigerated,Compost,2024-03-13
3ade91bb-4359-4255-8db4-03a28ccef010,Vegetarian,3,Dairy,5.16,3.62,1.54,Avoidable,Pantry,Compost,2024-01-02
f935bbcb-b490-4e03-aa85-87044419a5af,Pescatarian,2,Snacks,7.49,7.01,0.48,Avoidable,Frozen,Compost,2024-02-24
636b6cbf-0244-4bc0-bd48-afac71ceba51,Omnivore,2,Meat,11.87,7.28,4.59,Avoidable,Refrigerated,Feed Animals,2024-07-12
953293b2-8795-4804-bfbe-36e265346cb0,Pescatarian,4,Grains,7.88,7.15,0.73,Avoidable,Pantry,Donation,2024-09-21
0965a963-01ad-4107-ae1d-d973a38f1c73,Vegetarian,2,Fruits,14.79,3.65,11.14,Avoidable,Frozen,Trash,2024-08-12
743cb90a-76e0-4b7d-b0df-fad28ee70d60,Pescatarian,3,Fruits,2.11,0.55,1.57,Avoidable,Frozen,Trash,2024-05-24
f317b596-8e2b-4cea-a038-bc5db2453203,Vegan,6,Vegetables,2.26,0.98,1.28,Avoidable,Frozen,Feed Animals,2024-04-14
c246c791-9e0f-47f2-9ed3-dcba94c6cb20,Vegan,4,Fruits,2.78,1.09,1.69,Avoidable,Pantry,Donation,2024-06-09
1b378fe6-a008-43c4-9c67-3c858d3484a1,Vegetarian,6,Grains,9.97,5.17,4.8,Avoidable,Pantry,Feed Animals,2024-02-19
a85c41cf-cb3a-4776-bbd1-a509be834d93,Pescatarian,4,Meat,11.34,2.75,8.59,Avoidable,Refrigerated,Donation,2024-04-23
ba7cb754-e2ed-4462-bc7c-03e031103028,Pescatarian,6,Dairy,3.66,3.39,0.27,Avoidable,Refrigerated,Donation,2024-02-07
05946633-88a6-4fc4-97a7-c10cac4c9919,Pescatarian,5,Vegetables,16.32,0.52,15.8,Avoidable,Refrigerated,Compost,2024-09-21
0c1b73e7-7d5d-428f-81b1-e4d51176204d,Omnivore,4,Fruits,10.12,6.64,3.48,Avoidable,Refrigerated,Trash,2024-02-16
b5eee770-c7f3-4ab4-8a4d-25c7a334c2c4,Omnivore,6,Meat,3.76,1.23,2.53,Avoidable,Frozen,Donation,2024-07-19
5f3fdae3-7a79-4dba-b0ad-b1395198a089,Vegetarian,1,Fruits,2.29,1.21,1.08,Avoidable,Pantry,Compost,2024-01-17
d28967ce-3755-4bd8-ad89-31aa9dbb9595,Vegetarian,1,Fruits,11.99,6.14,5.85,Avoidable,Pantry,Donation,2024-02-29
e5e70398-4fa7-4482-9f61-b103d9f9dab9,Vegan,2,Snacks,9.5,8.46,1.04,Avoidable,Frozen,Compost,2024-09-07
bb1c63b1-efa5-44a3-996a-52545b0f2ebd,Vegetarian,5,Meat,4.64,4.13,0.52,Avoidable,Frozen,Donation,2024-06-05
127d2c8d-52aa-482d-ba92-08d9369bb0d4,Omnivore,1,Vegetables,10.05,3.6,6.44,Avoidable,Pantry,Trash,2024-05-06
1da331ee-4e18-4f1d-a605-46a356b81cd5,Omnivore,2,Vegetables,10.45,5.73,4.72,Avoidable,Refrigerated,Feed Animals,2024-06-02
a01e9a5e-b799-4606-a42a-115ede3eb2d4,Omnivore,5,Vegetables,4.82,2.6,2.21,Avoidable,Refrigerated,Compost,2024-04-24
d55a91d9-8d80-47f3-bb19-1889a7324d5b,Vegetarian,6,Meat,12.42,9.82,2.59,Avoidable,Pantry,Feed Animals,2024-06-12
9f3400da-c5db-4117-b99b-cce63a234e30,Pescatarian,6,Meat,19.27,18.48,0.79,Avoidable,Refrigerated,Trash,2024-07-26
ec729f22-df43-45c5-9e43-203c65dbcbaa,Vegan,3,Beverages,15.21,7.93,7.28,Avoidable,Frozen,Donation,2024-08-03
de5e3343-4ff2-4ec2-82e8-af07746f419c,Vegetarian,4,Snacks,11.31,9.82,1.5,Avoidable,Frozen,Trash,2024-04-02
1bb0f1cc-a422-4498-9138-33ecad777f1f,Vegan,5,Fruits,10.02,6.29,3.73,Avoidable,Refrigerated,Feed Animals,2024-06-10
145d0193-e10a-4364-a390-0337fbf30172,Omnivore,3,Snacks,14.23,8.77,5.47,Avoidable,Pantry,Trash,2024-09-18
256ff969-8b74-454e-b94f-ee17f34b8f87,Omnivore,3,Meat,4.97,1.16,3.81,Avoidable,Refrigerated,Trash,2024-08-27
6901792a-3ac5-429b-9072-ccf002f3c6ad,Pescatarian,3,Fruits,15.64,7.37,8.27,Avoidable,Frozen,Donation,2024-02-23
6b8726cc-5355-48bb-9783-f478f78bdf56,Vegan,6,Meat,6.79,2.04,4.75,Avoidable,Refrigerated,Feed Animals,2024-02-05
fdb6ce52-08a8-4148-bf5f-54434fa4b9d2,Vegetarian,3,Dairy,16.22,2.63,13.59,Avoidable,Pantry,Donation,2024-01-09
9d6ae81f-dfca-4621-870a-9d307d138284,Omnivore,5,Beverages,9.57,3.56,6.0,Avoidable,Frozen,Compost,2024-03-24
50d71f25-13e9-472d-ad5a-c1957c3138f7,Omnivore,3,Fruits,6.21,5.61,0.61,Avoidable,Refrigerated,Trash,2024-08-15
a336ef10-33e2-4aa5-81e3-e2bf9c25ef32,Vegetarian,3,Grains,6.43,5.42,1.01,Avoidable,Refrigerated,Compost,2024-08-21
04eae2ad-51d5-46a0-bbd6-861c6a60791f,Vegan,3,Snacks,14.52,1.36,13.16,Avoidable,Pantry,Trash,2024-09-09
565c637e-a63f-42a1-9935-6de85688d2ee,Pescatarian,4,Snacks,6.11,1.3,4.81,Avoidable,Refrigerated,Trash,2024-03-12
4e935f89-6ae6-4f4f-97ad-1313518ac397,Omnivore,1,Dairy,10.63,1.29,9.33,Avoidable,Frozen,Compost,2024-07-27
3b46730c-09cb-41ef-ac3e-1ef1b4d8213f,Pescatarian,3,Fruits,6.41,4.2,2.21,Avoidable,Refrigerated,Compost,2024-07-25
b0d85c9c-5d3f-4f75-8670-7d89d0abf955,Vegetarian,5,Snacks,15.69,10.52,5.17,Avoidable,Pantry,Donation,2024-01-14
cf35abc1-f890-4b8e-bb7b-7c7eea4f97b4,Vegan,6,Meat,9.15,0.74,8.4,Avoidable,Pantry,Donation,2024-05-17
e9cfcc94-9c73-4be0-a052-acc29f877f53,Pescatarian,6,Fruits,11.06,4.45,6.61,Avoidable,Refrigerated,Donation,2024-02-14
c128ec78-dc72-46cd-a59a-ecf9a80c767b,Vegan,6,Dairy,16.35,12.27,4.08,Avoidable,Pantry,Trash,2024-05-07
399398d4-f559-4b1f-aab5-87fe994d9217,Vegetarian,4,Vegetables,4.58,4.0,0.58,Avoidable,Refrigerated,Donation,2024-02-26
7e2fbefb-433a-4a4a-bf8e-8ff0de16c390,Vegan,4,Dairy,5.07,5.02,0.06,Avoidable,Pantry,Trash,2024-03-04
571accb6-9116-48d1-b2d3-d8f051b3c689,Vegan,2,Snacks,1.09,0.93,0.15,Avoidable,Pantry,Trash,2024-08-03
1d64dfac-29ad-4f0a-8509-99b63a6b8fcb,Omnivore,2,Grains,6.42,5.5,0.92,Avoidable,Frozen,Donation,2024-07-30
3c8c2320-3498-4a05-9968-0de401aafa17,Vegetarian,3,Fruits,15.3,12.44,2.86,Avoidable,Refrigerated,Feed Animals,2024-05-04
b1576561-e983-496f-90e7-0590bd3abd2f,Omnivore,4,Dairy,14.56,4.75,9.81,Avoidable,Frozen,Donation,2024-08-22
076cd3b0-49b9-4789-be81-a1f6de99bae4,Vegan,5,Vegetables,18.32,13.41,4.91,Avoidable,Pantry,Compost,2024-06-15
9dc664ba-c449-48ea-b605-cff5feec010b,Vegan,1,Dairy,4.16,2.19,1.97,Avoidable,Frozen,Donation,2024-05-31
fa3308e9-c787-497c-a4b1-a53c8162a7d9,Vegetarian,3,Fruits,2.82,2.13,0.69,Avoidable,Pantry,Donation,2024-08-18
c1da4bdd-9a1e-4db4-8943-26c65c566661,Vegetarian,2,Fruits,14.73,7.57,7.16,Avoidable,Pantry,Compost,2024-09-13
a2718eec-fecf-4c7f-81af-ffe1bd609349,Vegan,1,Beverages,14.79,8.49,6.3,Avoidable,Frozen,Trash,2024-04-03
c58be2b0-0d47-476a-bba6-dca6735aa43e,Pescatarian,3,Meat,8.16,0.76,7.4,Avoidable,Frozen,Compost,2024-06-23
45971808-4d4c-40d8-a407-4dec70d6d7eb,Vegetarian,6,Dairy,8.71,6.46,2.25,Avoidable,Frozen,Feed Animals,2024-06-02
0a49d194-6bb4-4b95-862e-3fab0e5d5da3,Omnivore,6,Vegetables,7.02,4.95,2.07,Avoidable,Refrigerated,Trash,2024-09-09
598b3778-430f-456f-9d88-00a2e768d3ed,Vegetarian,3,Fruits,10.03,2.23,7.8,Avoidable,Pantry,Trash,2024-01-23
b8c14a58-82a7-48bf-b4bf-3a9f7e12443a,Vegan,4,Dairy,1.14,0.86,0.28,Avoidable,Refrigerated,Compost,2024-01-27
20e54e7b-411c-4b16-b396-df157f71f097,Vegan,4,Dairy,10.05,7.34,2.71,Avoidable,Pantry,Trash,2024-01-06
9cbeb448-df1e-4b1c-972b-ee1e84549d53,Vegetarian,1,Grains,10.95,1.97,8.98,Avoidable,Pantry,Trash,2024-08-02
daf2644c-5d58-48ed-99ed-c35fb0b3c155,Vegan,4,Fruits,4.26,2.77,1.49,Avoidable,Refrigerated,Donation,2024-02-09
b22c7ed2-16ae-492b-ae63-135fa2bced7a,Vegan,1,Fruits,10.11,3.74,6.38,Avoidable,Frozen,Compost,2024-07-22
655051cb-501c-4502-b0ff-8b8602b54025,Vegetarian,1,Meat,17.99,9.39,8.6,Avoidable,Refrigerated,Donation,2024-02-10
e9eff5d0-78f1-45a3-80d7-cbd66f018d17,Pescatarian,1,Meat,10.16,4.33,5.83,Avoidable,Refrigerated,Donation,2024-07-09
46d9ef6e-6129-4350-9c4e-d94f7b764922,Pescatarian,2,Vegetables,15.89,9.91,5.97,Avoidable,Refrigerated,Compost,2024-03-07
d7fb7e19-b6f0-49a4-8da2-bab50da0b6ce,Vegetarian,4,Dairy,13.22,1.89,11.32,Avoidable,Frozen,Donation,2024-07-31
0b05460e-e154-447b-bd5d-d1df11fe2f7b,Vegetarian,2,Beverages,16.39,2.79,13.61,Avoidable,Refrigerated,Compost,2024-03-09
0b8cb0b0-6b5d-44aa-afcf-bc6064ae0e14,Pescatarian,3,Meat,1.27,1.16,0.11,Avoidable,Pantry,Feed Animals,2024-07-24
af2dbfdb-06a8-49a6-9e21-ba3aa160aa53,Vegan,1,Meat,19.28,19.04,0.24,Avoidable,Frozen,Compost,2024-05-04
e98c4ac7-81d0-4a6d-bba7-0dce3e467a44,Pescatarian,6,Meat,18.54,2.64,15.9,Avoidable,Refrigerated,Donation,2024-03-15
be5cabb4-27ad-4a8e-be5a-c35edee4dbbf,Omnivore,5,Snacks,14.0,7.12,6.88,Avoidable,Pantry,Donation,2024-07-14
ee1a6405-181c-4b5a-a74d-8f1676767af9,Omnivore,6,Vegetables,13.62,5.32,8.3,Avoidable,Refrigerated,Feed Animals,2024-06-15
8e6f1cd0-ce4c-4e31-a5cf-27ea0591ea4d,Vegetarian,5,Beverages,8.36,4.9,3.46,Avoidable,Refrigerated,Trash,2024-01-22
da4db0fb-ca53-4497-9301-361a4bb741cd,Vegan,4,Beverages,3.28,2.72,0.56,Avoidable,Pantry,Donation,2024-06-08
731926fd-586a-4a3d-8839-d50519c7a626,Vegan,2,Fruits,16.6,5.9,10.69,Avoidable,Pantry,Donation,2024-07-22
4cf78f12-83fc-4180-a47a-d457623a2749,Omnivore,6,Grains,19.8,5.94,13.86,Avoidable,Refrigerated,Feed Animals,2024-04-03
79170ded-98d1-4028-b53e-c2419e174d22,Vegan,6,Snacks,11.79,6.82,4.97,Avoidable,Refrigerated,Feed Animals,2024-04-16
f72bc467-3044-4171-b7d8-041e42d32984,Omnivore,5,Fruits,7.45,2.99,4.45,Avoidable,Pantry,Compost,2024-01-05
681a0f6e-bc9f-4527-b41a-ee71f802213b,Vegetarian,1,Beverages,10.19,4.17,6.02,Avoidable,Refrigerated,Compost,2024-07-27
